OSNR,instance,node_dst,node_src,amplifier_spacing,system_margin,fiber_loss,ampl_noise,constellation,volume,link_len,hops_id,guardband_l,guardband_r,traffic_l,traffic_r,constellation_l,constellation_r,path_id
11.15629754,1,3,14,100,4.715603736,0.2,5,2,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
8.173942351,1,3,14,100,4.715603736,0.2,5,4,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
5.083637265,1,3,14,100,4.715603736,0.2,5,8,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
3.577692591,1,3,14,100,4.715603736,0.2,5,16,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
2.407478111,1,3,14,100,4.715603736,0.2,5,32,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
1.065137952,1,3,14,100,4.715603736,0.2,5,64,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
4.23128412,1,3,14,100,11.64475192,0.2,5,2,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
1.244578658,1,3,14,100,11.64475192,0.2,5,4,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
-1.849769355,1,3,14,100,11.64475192,0.2,5,8,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
-3.35575843,1,3,14,100,11.64475192,0.2,5,16,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
-4.526662539,1,3,14,100,11.64475192,0.2,5,32,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
-5.866848272,1,3,14,100,11.64475192,0.2,5,64,100,"(240, 240, 240)","(3, 5, 9, 14)",12.5,25,450,300,16,32,0
